ZIP,COUNTYNAME,STATE,STCOUNTYFP,CLASSFP,IECC_Climate_Zone,Lockout_Setpoint
36471,Conecuh County,AL,01035,H1,3A,69.0
36330,Conecuh County,AL,01035,H1,3A,69.0
36426,Conecuh County,AL,01035,H1,3A,69.0
36454,Conecuh County,AL,01035,H1,3A,69.0
36460,Conecuh County,AL,01035,H1,3A,69.0
36401,Conecuh County,AL,01035,H1,3A,69.0
36442,Conecuh County,AL,01035,H1,3A,69.0
36473,Conecuh County,AL,01035,H1,3A,69.0
36502,Conecuh County,AL,01035,H1,3A,69.0
36475,Conecuh County,AL,01035,H1,3A,69.0
36456,Conecuh County,AL,01035,H1,3A,69.0
36432,Conecuh County,AL,01035,H1,3A,69.0
36474,Conecuh County,AL,01035,H1,3A,69.0
36421,Conecuh County,AL,01035,H1,3A,69.0
36033,Conecuh County,AL,01035,H1,3A,69.0
35151,Coosa County,AL,01037,H1,3A,69.0
35150,Coosa County,AL,01037,H1,3A,69.0
36026,Coosa County,AL,01037,H1,3A,69.0
36080,Coosa County,AL,01037,H1,3A,69.0
35046,Coosa County,AL,01037,H1,3A,69.0
35089,Coosa County,AL,01037,H1,3A,69.0
35136,Coosa County,AL,01037,H1,3A,69.0
35072,Coosa County,AL,01037,H1,3A,69.0
35010,Coosa County,AL,01037,H1,3A,69.0
35183,Coosa County,AL,01037,H1,3A,69.0
36420,Covington County,AL,01039,H1,3A,69.0
36421,Covington County,AL,01039,H1,3A,69.0
36453,Covington County,AL,01039,H1,3A,69.0
36483,Covington County,AL,01039,H1,3A,69.0
36455,Covington County,AL,01039,H1,3A,69.0
36476,Covington County,AL,01039,H1,3A,69.0
36467,Covington County,AL,01039,H1,3A,69.0
36474,Covington County,AL,01039,H1,3A,69.0
36038,Covington County,AL,01039,H1,3A,69.0
36401,Covington County,AL,01039,H1,3A,69.0
36028,Covington County,AL,01039,H1,3A,69.0
36477,Covington County,AL,01039,H1,3A,69.0
36442,Covington County,AL,01039,H1,3A,69.0
36456,Covington County,AL,01039,H1,3A,69.0
36037,Crenshaw County,AL,01041,H1,3A,69.0
36035,Crenshaw County,AL,01041,H1,3A,69.0
36009,Crenshaw County,AL,01041,H1,3A,69.0
36071,Crenshaw County,AL,01041,H1,3A,69.0
36049,Crenshaw County,AL,01041,H1,3A,69.0
36028,Crenshaw County,AL,01041,H1,3A,69.0
36036,Crenshaw County,AL,01041,H1,3A,69.0
36041,Crenshaw County,AL,01041,H1,3A,69.0
36034,Crenshaw County,AL,01041,H1,3A,69.0
36046,Crenshaw County,AL,01041,H1,3A,69.0
36042,Crenshaw County,AL,01041,H1,3A,69.0
